abbr,Latitude,Longitude
KTN,55.3542,-131.7111
YAK,59.5033,-139.6603
CDV,60.4917,-145.4775
SIT,57.0472,-135.3617
WRG,56.4844,-132.3697
PSG,56.8017,-132.9453
OME,64.5122,-165.4453
OTZ,66.8847,-162.5986
BUR,34.2006,-118.3586
ADK,51.8781,-176.6461
MAF,31.9425,-102.2019
CHS,32.8986,-80.0406
BTV,44.4719,-73.1533
BUF,42.9406,-78.7322
HOU,29.6456,-95.2789
ROC,43.1189,-77.6725
PWM,43.6461,-70.3092
HPN,41.0669,-73.7075
SWF,41.5042,-74.1047
PSE,18.0083,-66.5631
BQN,18.4949,-67.1294
LGB,33.8178,-118.1517
PVD,41.7239,-71.4283
SRQ,27.3954,-82.5544
ORH,42.2672,-71.8758
LNK,40.8511,-96.7592
GTF,47.4828,-111.3706
ALB,42.7492,-73.8019
PNS,30.4733,-87.1867
GRR,42.8808,-85.5228
AVL,35.4361,-82.5417
SAV,32.1275,-81.2022
TLH,30.3967,-84.3503
DAB,29.18,-81.0581
GSP,34.8956,-82.2189
MDW,41.7861,-87.7525
JAN,32.3111,-90.0758
MOB,30.6914,-88.2428
MHT,42.9328,-71.4358
EYW,24.5561,-81.7594
ROA,37.3256,-79.9756
GSO,36.0978,-79.9372
CAK,40.9161,-81.4422
BIL,45.8078,-108.5428
MLI,41.4486,-90.5072
MSO,46.9164,-114.0906
RAP,44.0453,-103.0572
MLB,28.1028,-80.6453
HRL,26.2285,-97.6544
AGS,33.37,-81.9644
TYS,35.8111,-83.9939
FAR,46.9206,-96.8158
FNT,42.9656,-83.7436
MOT,48.2578,-101.2781
LEX,38.0364,-84.6058
GPT,30.4072,-89.07
BZN,45.7775,-111.1519
ILM,34.2706,-77.9025
VPS,30.4833,-86.5253
FSD,43.5819,-96.7419
CRW,38.3731,-81.5933
BIS,46.7728,-100.7458
CHA,35.0353,-85.2036
TRI,36.4753,-82.4075
MYR,33.6797,-78.9283
CAE,33.9389,-81.1194
BTR,30.5328,-91.15
FAY,34.9911,-78.8803
GJT,39.1225,-108.5267
BPT,29.9508,-94.0206
LCH,30.1261,-93.2233
LFT,30.2053,-91.9875
GRK,31.0672,-97.8289
SBN,41.7083,-86.3172
ABI,32.4114,-99.6819
TYR,32.3542,-95.4025
MDT,40.1936,-76.7633
SAF,35.6172,-106.0894
CID,41.8847,-91.7108
AVP,41.3383,-75.7233
TXK,33.4536,-93.9911
AMA,35.2194,-101.7058
SHV,32.4467,-93.8256
SJT,31.3578,-100.4964
BRO,25.9068,-97.4258
AEX,31.3275,-92.5486
LRD,27.5438,-99.4617
DRO,37.1514,-107.7539
CLL,30.5886,-96.3639
LAN,42.7786,-84.5867
TVC,44.7417,-85.5822
DAL,32.8472,-96.8517
CWA,44.7775,-89.6667
PIA,40.6642,-89.6933
MLU,32.5108,-92.0378
HOB,32.6875,-103.2169
ABE,40.6522,-75.4403
EVV,38.0369,-87.5322
FSM,35.3367,-94.3675
EWN,35.0731,-77.0431
BQK,31.2592,-81.4664
OAJ,34.8292,-77.6122
DHN,31.3214,-85.4497
PHF,37.1319,-76.4931
ELM,42.16,-76.8917
SGF,37.2456,-93.3886
CHO,38.1386,-78.4528
GNV,29.69,-82.2717
ATW,44.2581,-88.5192
MGM,32.3006,-86.3939
GTR,33.4503,-88.5914
EAU,44.8658,-91.4842
GRB,44.4847,-88.1297
VLD,30.7814,-83.2761
CSG,32.5164,-84.9389
BMI,40.4772,-88.9158
BGR,44.8075,-68.8281
FWA,40.9783,-85.1953
ABY,31.5356,-84.1944
FOE,38.9508,-95.6636
ILG,39.6786,-75.6067
EUG,44.1244,-123.2119
TTN,40.2767,-74.8133
SBA,34.4261,-119.8414
ISN,48.1781,-103.6422
DIK,46.7975,-102.8019
ITO,19.7202,-155.0483
ROW,33.3017,-104.5306
TOL,41.5867,-83.8078
CMI,40.0389,-88.2778
GCK,37.9275,-100.7244
ACT,31.6114,-97.2306
LAW,34.5678,-98.4167
SPI,39.8442,-89.6781
JLN,37.1519,-94.4983
GRI,40.9675,-98.3097
ALO,42.5572,-92.4003
MHK,39.1411,-96.6708
PPG,14.3317,-170.7114
COU,38.8181,-92.2197
RST,43.9083,-92.5
ART,43.9919,-76.0217
DBQ,42.4019,-90.7094
ASE,39.2231,-106.8689
GGG,32.3839,-94.7114
SUX,42.4025,-96.3844
AZO,42.2344,-85.5517
MRY,36.5869,-121.8431
CPR,42.9081,-106.4644
MFR,42.3742,-122.8736
ISP,40.7953,-73.1003
GUM,13.4839,-144.7972
RDM,44.2542,-121.15
GCC,44.3489,-105.5394
DLH,46.8422,-92.1936
SGU,37.0906,-113.5931
CMX,47.1683,-88.4892
IDA,43.5136,-112.0708
BFL,35.4339,-119.0578
FLG,35.1403,-111.6692
PAH,37.0603,-88.7731
ACV,40.9781,-124.1086
RDD,40.5089,-122.2933
HIB,47.3867,-92.8389
LWS,46.3744,-117.0153
LSE,43.8792,-91.2567
PSC,46.2647,-119.1189
CEC,41.7803,-124.2367
MKG,43.1678,-86.2356
SBP,35.2372,-120.6425
TWF,42.4817,-114.4878
CIC,39.7953,-121.8583
LMT,42.1561,-121.7333
COD,44.5203,-109.0239
MBS,43.5328,-84.0797
GFK,47.9492,-97.1761
MMH,37.6242,-118.8378
SUN,43.5039,-114.2956
HLN,46.6067,-111.9828
PIH,42.9097,-112.5958
RKS,41.5942,-109.0653
MOD,37.6258,-120.9544
LAR,41.3119,-105.675
IMT,45.8183,-88.1144
RHI,45.6311,-89.4675
EKO,40.825,-115.7917
APN,45.0781,-83.5603
BJI,47.5108,-94.9347
BRD,46.4017,-94.1356
INL,48.5656,-93.4022
BTM,45.9547,-112.4975
CDC,37.7008,-113.0989
ABR,45.4492,-98.4219
SMX,34.8989,-120.4575
OTH,43.4169,-124.2469
